,평균기온,강수량,cold,flu,pneumonia,coronavirus
2019-09-13,20.8,0.117,0.105,0.042,0.107,0.003
2019-09-14,21.3,0.977,0.11,0.059,0.123,0.004
2019-09-15,21.7,4.771,0.123,0.071,0.139,0.005
2019-09-16,21,0,0.138,0.134,0.227,0.007
2019-09-17,20.4,0,0.152,0.161,0.206,0.01
2019-09-18,19.9,0,0.155,0.146,0.193,0.012
2019-09-19,18,0,0.165,0.14,0.213,0.009
2019-09-20,18.3,0,0.157,0.135,0.184,0.006
2019-09-21,17.6,20.242,0.122,0.104,0.143,0.006
2019-09-22,17.1,40.728,0.125,0.102,0.135,0.006
2019-09-23,17.2,12.286,0.147,0.176,0.218,0.007
2019-09-24,17.4,0,0.133,0.166,0.214,0.008
2019-09-25,18.3,0,0.129,0.162,0.201,0.01
2019-09-26,19.8,0,0.131,0.162,0.21,0.009
2019-09-27,20.1,0,0.121,0.148,0.196,0.009
2019-09-28,21.1,7.8,0.102,0.117,0.152,0.005
2019-09-29,20.5,0,0.101,0.106,0.148,0.003
2019-09-30,20,0,0.134,0.182,0.261,0.009
2019-10-01,20.7,0,0.124,0.161,0.217,0.008
2019-10-02,20.6,48.765,0.113,0.151,0.2,0.005
2019-10-03,20.9,73.305,0.097,0.096,0.156,0.006
2019-10-04,20.1,5.967,0.104,0.152,0.21,0.006
2019-10-05,16.7,14.767,0.102,0.114,0.166,0.005
2019-10-06,15.6,0.05,0.117,0.115,0.144,0.005
2019-10-07,14.5,9.075,0.146,0.202,0.242,0.006
2019-10-08,14.6,0.45,0.15,0.205,0.205,0.006
2019-10-09,12.8,0,0.133,0.15,0.157,0.005
2019-10-10,14.2,0.35,0.164,0.233,0.222,0.006
2019-10-11,17.3,0.24,0.144,0.197,0.213,0.008
2019-10-12,17,0.325,0.111,0.147,0.17,0.005
2019-10-13,15,0,0.119,0.139,0.156,0.004
2019-10-14,13.5,29.329,0.866,0.273,0.264,0.006
2019-10-15,12.1,7.8,0.153,0.305,0.237,0.006
2019-10-16,12.9,0,0.155,0.272,0.249,0.008
2019-10-17,13.8,0,0.147,0.261,0.246,0.009
2019-10-18,15,4.629,0.13,0.243,0.243,0.008
2019-10-19,15.1,3.34,0.11,0.196,0.204,0.005
2019-10-20,14.5,0,0.116,0.187,0.181,0.005
2019-10-21,14.9,0,0.154,0.32,0.295,0.009
2019-10-22,15.4,0,0.144,0.288,0.282,0.01
2019-10-23,15.4,0.067,0.13,0.292,0.283,0.01
2019-10-24,16.8,11.44,0.143,0.254,0.271,0.01
2019-10-25,15.7,1.329,0.126,0.273,0.243,0.008
2019-10-26,11,0.1,0.129,0.224,0.195,0.008
2019-10-27,9.9,18.4,0.125,0.199,0.165,0.007
2019-10-28,12,2.47,0.176,0.357,0.284,0.009
2019-10-29,12.4,1.223,0.159,0.312,0.258,0.009
2019-10-30,10.7,0,0.153,0.269,0.255,0.01
2019-10-31,14.1,0,0.137,0.258,0.258,0.011
2019-11-01,13.7,0,0.121,0.244,0.249,0.008
2019-11-02,12.7,0,0.102,0.199,0.202,0.009
2019-11-03,12.6,10.586,0.111,0.187,0.187,0.006
2019-11-04,11.3,0.05,0.149,0.279,0.32,0.008
2019-11-05,11.1,0,0.156,0.271,0.307,0.013
2019-11-06,10.4,0,0.155,0.272,0.334,0.01
